date,location,total_cases,total_deaths,new_cases,new_deaths
2020-03-01,Mato Grosso do Sul,0,0,0,0
2020-03-01,Minas Gerais,0,0,0,0
2020-03-01,Pará,0,0,0,0
2020-03-01,Paraíba,0,0,0,0
2020-03-01,Paraná,0,0,0,0
2020-03-01,Pernambuco,0,0,0,0
2020-03-01,Piauí,0,0,0,0
2020-03-01,Rio de Janeiro,0,0,0,0
2020-03-01,Rio Grande do Norte,0,0,0,0
2020-03-01,Rio Grande do Sul,0,0,0,0
2020-03-01,Rondônia,0,0,0,0
2020-03-01,Roraima,0,0,0,0
2020-03-01,Santa Catarina,0,0,0,0
2020-03-01,São Paulo,2,0,0,0
2020-03-01,Sergipe,0,0,0,0
2020-03-01,Tocantins,0,0,0,0
2020-03-02,Acre,0,0,0,0
2020-03-02,Alagoas,0,0,0,0
2020-03-02,Amapá,0,0,0,0
2020-03-02,Amazonas,0,0,0,0
2020-03-02,Bahia,0,0,0,0
2020-03-02,Ceará,0,0,0,0
2020-03-02,Distrito Federal,0,0,0,0
2020-03-02,Espírito Santo,0,0,0,0
2020-03-02,Goiás,0,0,0,0
2020-03-02,Maranhão,0,0,0,0
2020-03-02,Mato Grosso,0,0,0,0
2020-03-02,Mato Grosso do Sul,0,0,0,0
2020-03-02,Minas Gerais,0,0,0,0
2020-03-02,Pará,0,0,0,0
2020-03-02,Paraíba,0,0,0,0
2020-03-02,Paraná,0,0,0,0
2020-03-02,Pernambuco,0,0,0,0
2020-03-02,Piauí,0,0,0,0
2020-03-02,Rio de Janeiro,0,0,0,0
2020-03-02,Rio Grande do Norte,0,0,0,0
2020-03-02,Rio Grande do Sul,0,0,0,0
2020-03-02,Rondônia,0,0,0,0
2020-03-02,Roraima,0,0,0,0
2020-03-02,Santa Catarina,0,0,0,0
2020-03-02,São Paulo,2,0,0,0
2020-03-02,Sergipe,0,0,0,0
2020-03-02,Tocantins,0,0,0,0
2020-03-03,Acre,0,0,0,0
2020-03-03,Alagoas,0,0,0,0
2020-03-03,Amapá,0,0,0,0
2020-03-03,Amazonas,0,0,0,0
2020-03-03,Bahia,0,0,0,0
2020-03-03,Ceará,0,0,0,0
2020-03-03,Distrito Federal,0,0,0,0
2020-03-03,Espírito Santo,0,0,0,0
2020-03-03,Goiás,0,0,0,0
2020-03-03,Maranhão,0,0,0,0
2020-03-03,Mato Grosso,0,0,0,0
2020-03-03,Mato Grosso do Sul,0,0,0,0
2020-03-03,Minas Gerais,0,0,0,0
2020-03-03,Pará,0,0,0,0
2020-03-03,Paraíba,0,0,0,0
2020-03-03,Paraná,0,0,0,0
2020-03-03,Pernambuco,0,0,0,0
2020-03-03,Piauí,0,0,0,0
2020-03-03,Rio de Janeiro,0,0,0,0
2020-03-03,Rio Grande do Norte,0,0,0,0
2020-03-03,Rio Grande do Sul,0,0,0,0
2020-03-03,Rondônia,0,0,0,0
2020-03-03,Roraima,0,0,0,0
2020-03-03,Santa Catarina,0,0,0,0
2020-03-03,São Paulo,2,0,0,0
2020-03-03,Sergipe,0,0,0,0
2020-03-03,Tocantins,0,0,0,0
2020-03-04,Acre,0,0,0,0
2020-03-04,Alagoas,0,0,0,0
2020-03-04,Amapá,0,0,0,0
2020-03-04,Amazonas,0,0,0,0
2020-03-04,Bahia,0,0,0,0
2020-03-04,Ceará,0,0,0,0
2020-03-04,Distrito Federal,0,0,0,0
2020-03-04,Espírito Santo,0,0,0,0
2020-03-04,Goiás,0,0,0,0
2020-03-04,Maranhão,0,0,0,0
2020-03-04,Mato Grosso,0,0,0,0
2020-03-04,Mato Grosso do Sul,0,0,0,0
2020-03-04,Minas Gerais,0,0,0,0
2020-03-04,Pará,0,0,0,0
2020-03-04,Paraíba,0,0,0,0
2020-03-04,Paraná,0,0,0,0
2020-03-04,Pernambuco,0,0,0,0
2020-03-04,Piauí,0,0,0,0
2020-03-04,Rio de Janeiro,0,0,0,0
2020-03-04,Rio Grande do Norte,0,0,0,0
2020-03-04,Rio Grande do Sul,0,0,0,0
2020-03-04,Rondônia,0,0,0,0
2020-03-04,Roraima,0,0,0,0
2020-03-04,Santa Catarina,0,0,0,0
2020-03-04,São Paulo,3,0,1,0
2020-03-04,Sergipe,0,0,0,0
2020-03-04,Tocantins,0,0,0,0
2020-03-05,Acre,0,0,0,0
2020-03-05,Alagoas,0,0,0,0
2020-03-05,Amapá,0,0,0,0
2020-03-05,Amazonas,0,0,0,0
2020-03-05,Bahia,0,0,0,0
2020-03-05,Ceará,0,0,0,0
2020-03-05,Distrito Federal,0,0,0,0
2020-03-05,Espírito Santo,0,0,0,0
2020-03-05,Goiás,0,0,0,0
2020-03-05,Maranhão,0,0,0,0
2020-03-05,Mato Grosso,0,0,0,0
2020-03-05,Mato Grosso do Sul,0,0,0,0
2020-03-05,Minas Gerais,0,0,0,0
2020-03-05,Pará,0,0,0,0
2020-03-05,Paraíba,0,0,0,0
2020-03-05,Paraná,0,0,0,0
2020-03-05,Pernambuco,0,0,0,0
2020-03-05,Piauí,0,0,0,0
2020-03-05,Rio de Janeiro,1,0,1,0
2020-03-05,Rio Grande do Norte,0,0,0,0
2020-03-05,Rio Grande do Sul,0,0,0,0
2020-03-05,Rondônia,0,0,0,0
2020-03-05,Roraima,0,0,0,0
2020-03-05,Santa Catarina,0,0,0,0
2020-03-05,São Paulo,6,0,3,0
2020-03-05,Sergipe,0,0,0,0
2020-03-05,Tocantins,0,0,0,0
2020-03-06,Acre,0,0,0,0
2020-03-06,Alagoas,0,0,0,0
2020-03-06,Amapá,0,0,0,0
2020-03-06,Amazonas,0,0,0,0
2020-03-06,Bahia,1,0,1,0
2020-03-06,Ceará,0,0,0,0
2020-03-06,Distrito Federal,0,0,0,0
2020-03-06,Espírito Santo,1,0,1,0
2020-03-06,Goiás,0,0,0,0
2020-03-06,Maranhão,0,0,0,0
2020-03-06,Mato Grosso,0,0,0,0
2020-03-06,Mato Grosso do Sul,0,0,0,0
2020-03-06,Minas Gerais,0,0,0,0
2020-03-06,Pará,0,0,0,0
2020-03-06,Paraíba,0,0,0,0
2020-03-06,Paraná,0,0,0,0
2020-03-06,Pernambuco,0,0,0,0
2020-03-06,Piauí,0,0,0,0
2020-03-06,Rio de Janeiro,1,0,0,0
2020-03-06,Rio Grande do Norte,0,0,0,0
2020-03-06,Rio Grande do Sul,0,0,0,0
2020-03-06,Rondônia,0,0,0,0
2020-03-06,Roraima,0,0,0,0
2020-03-06,Santa Catarina,0,0,0,0
2020-03-06,São Paulo,10,0,4,0
2020-03-06,Sergipe,0,0,0,0
2020-03-06,Tocantins,0,0,0,0
2020-03-07,Acre,0,0,0,0
2020-03-07,Alagoas,0,0,0,0
2020-03-07,Amapá,0,0,0,0
2020-03-07,Amazonas,0,0,0,0
2020-03-07,Bahia,1,0,0,0
2020-03-07,Ceará,0,0,0,0
2020-03-07,Distrito Federal,0,0,0,0
2020-03-07,Espírito Santo,1,0,0,0
2020-03-07,Goiás,0,0,0,0
2020-03-07,Maranhão,0,0,0,0
2020-03-07,Mato Grosso,0,0,0,0
2020-03-07,Mato Grosso do Sul,0,0,0,0
2020-03-07,Minas Gerais,0,0,0,0
2020-03-07,Pará,0,0,0,0
2020-03-07,Paraíba,0,0,0,0
2020-03-07,Paraná,0,0,0,0
2020-03-07,Pernambuco,0,0,0,0
2020-03-07,Piauí,0,0,0,0
2020-03-07,Rio de Janeiro,1,0,0,0
2020-03-07,Rio Grande do Norte,0,0,0,0
2020-03-07,Rio Grande do Sul,0,0,0,0
2020-03-07,Rondônia,0,0,0,0
2020-03-07,Roraima,0,0,0,0
2020-03-07,Santa Catarina,0,0,0,0
2020-03-07,São Paulo,10,0,0,0
2020-03-07,Sergipe,0,0,0,0
2020-03-07,Tocantins,0,0,0,0
2020-03-08,Acre,0,0,0,0
2020-03-08,Alagoas,1,0,1,0
2020-03-08,Amapá,0,0,0,0
2020-03-08,Amazonas,0,0,0,0
2020-03-08,Bahia,2,0,1,0
2020-03-08,Ceará,0,0,0,0
2020-03-08,Distrito Federal,1,0,1,0
2020-03-08,Espírito Santo,1,0,0,0
2020-03-08,Goiás,0,0,0,0
2020-03-08,Maranhão,0,0,0,0
2020-03-08,Mato Grosso,0,0,0,0
2020-03-08,Mato Grosso do Sul,0,0,0,0
2020-03-08,Minas Gerais,1,0,1,0
2020-03-08,Pará,0,0,0,0
2020-03-08,Paraíba,0,0,0,0
2020-03-08,Paraná,0,0,0,0
2020-03-08,Pernambuco,0,0,0,0
2020-03-08,Piauí,0,0,0,0
2020-03-08,Rio de Janeiro,3,0,2,0
2020-03-08,Rio Grande do Norte,0,0,0,0
2020-03-08,Rio Grande do Sul,0,0,0,0
2020-03-08,Rondônia,0,0,0,0
2020-03-08,Roraima,0,0,0,0
2020-03-08,Santa Catarina,0,0,0,0
2020-03-08,São Paulo,16,0,6,0
2020-03-08,Sergipe,0,0,0,0
2020-03-08,Tocantins,0,0,0,0
2020-03-09,Acre,0,0,0,0
2020-03-09,Alagoas,1,0,0,0
2020-03-09,Amapá,0,0,0,0
2020-03-09,Amazonas,0,0,0,0
2020-03-09,Bahia,2,0,0,0
2020-03-09,Ceará,0,0,0,0
2020-03-09,Distrito Federal,1,0,0,0
2020-03-09,Espírito Santo,1,0,0,0
2020-03-09,Goiás,0,0,0,0
2020-03-09,Maranhão,0,0,0,0
2020-03-09,Mato Grosso,0,0,0,0
2020-03-09,Mato Grosso do Sul,0,0,0,0
2020-03-09,Minas Gerais,1,0,0,0
2020-03-09,Pará,0,0,0,0
2020-03-09,Paraíba,0,0,0,0
2020-03-09,Paraná,0,0,0,0
2020-03-09,Pernambuco,0,0,0,0
2020-03-09,Piauí,0,0,0,0
2020-03-09,Rio de Janeiro,3,0,0,0
2020-03-09,Rio Grande do Norte,0,0,0,0
2020-03-09,Rio Grande do Sul,0,0,0,0
2020-03-09,Rondônia,0,0,0,0
2020-03-09,Roraima,0,0,0,0
2020-03-09,Santa Catarina,0,0,0,0
2020-03-09,São Paulo,16,0,0,0
2020-03-09,Sergipe,0,0,0,0
2020-03-09,Tocantins,0,0,0,0
2020-03-10,Acre,0,0,0,0
2020-03-10,Alagoas,1,0,0,0
2020-03-10,Amapá,0,0,0,0
2020-03-10,Amazonas,0,0,0,0
2020-03-10,Bahia,2,0,0,0
2020-03-10,Ceará,0,0,0,0
2020-03-10,Distrito Federal,1,0,0,0
2020-03-10,Espírito Santo,1,0,0,0
2020-03-10,Goiás,0,0,0,0
2020-03-10,Maranhão,0,0,0,0
2020-03-10,Mato Grosso,0,0,0,0
2020-03-10,Mato Grosso do Sul,0,0,0,0
2020-03-10,Minas Gerais,1,0,0,0
2020-03-10,Pará,0,0,0,0
2020-03-10,Paraíba,0,0,0,0
2020-03-10,Paraná,0,0,0,0
2020-03-10,Pernambuco,0,0,0,0
2020-03-10,Piauí,0,0,0,0
2020-03-10,Rio de Janeiro,8,0,5,0
2020-03-10,Rio Grande do Norte,0,0,0,0
2020-03-10,Rio Grande do Sul,1,0,1,0
2020-03-10,Rondônia,0,0,0,0
2020-03-10,Roraima,0,0,0,0
2020-03-10,Santa Catarina,0,0,0,0
2020-03-10,São Paulo,19,0,3,0
2020-03-10,Sergipe,0,0,0,0
